file,class,type,,,,wmc,lcom,loc,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.ShellInputSource,interface,,,,2,1,6,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,class,,,,14,3,58,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$BindTask,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,class,,,,9,10,28,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$Predicate,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ServiceRecord,innerclass,,,,1,0,10,,,,,,,,WMC,LCOM,LOC
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$OUT,innerclass,,,,4,1,17,,,,,,,Calculated Value,15.18182,40.72727273,58.61363636
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\UiThreadHandler.java,com.topjohnwu.superuser.internal.UiThreadHandler,class,,,,4,0,22,,,,,,,Standard Value ,49,78.34,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileUtils.java,com.topjohnwu.superuser.internal.FileUtils$Flag,innerclass,,,,0,0,7,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,class,,,,5,0,20,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,class,,,,63,30,179,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuFileOutputStream.java,com.topjohnwu.superuser.io.SuFileOutputStream,class,,,,8,10,27,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServerMain.java,com.topjohnwu.superuser.internal.RootServerMain$ResourcesWrapper,innerclass,,,,3,1,19,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$AppendCallbackList,innerclass,,,,1,0,7,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,class,,,,41,0,140,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Initializer,innerclass,,,,1,0,5,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$GetShellCallback,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity,class,,,,14,0,182,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$RemoteServiceRecord,innerclass,,,,1,0,11,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$ServiceKey,innerclass,,,,3,3,11,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileSystemService.java,com.topjohnwu.superuser.internal.FileSystemService,class,,,,56,85,228,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\StressTest.java,com.topjohnwu.libsuexample.StressTest,class,,,,28,0,175,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ClientProcess,innerclass,,,,2,0,14,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\NoShellException.java,com.topjohnwu.superuser.NoShellException,class,,,,2,1,8,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer,class,,,,50,66,239,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\DataOutputImpl.java,com.topjohnwu.superuser.internal.DataOutputImpl,interface,,,,14,78,69,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\BuilderImpl.java,com.topjohnwu.superuser.internal.BuilderImpl,class,,,,29,24,99,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\RAFWrapper.java,com.topjohnwu.superuser.internal.RAFWrapper,class,,,,40,0,123,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\NOPList.java,com.topjohnwu.superuser.internal.NOPList,class,,,,8,21,24,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\IOResult.java,com.topjohnwu.superuser.internal.IOResult,class,,,,8,0,36,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.CommandSource,class,,,,3,0,13,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ResultImpl.java,com.topjohnwu.superuser.internal.ResultImpl,class,,,,8,6,22,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellTerminatedException,class,,,,1,0,5,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$AIDLConnection,innerclass,,,,7,0,40,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\PendingJob.java,com.topjohnwu.superuser.internal.PendingJob,class,,,,16,0,51,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\StressTest.java,com.topjohnwu.libsuexample.StressTest$FileCallback,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileUtils.java,com.topjohnwu.superuser.internal.FileUtils,class,,,,62,21,169,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$ConnectionRecord,innerclass,,,,3,3,11,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\LocalFile.java,com.topjohnwu.superuser.internal.LocalFile,class,,,,23,105,87,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MSGService.java,com.topjohnwu.libsuexample.MSGService,class,,,,7,4,41,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\RemoteFileChannel.java,com.topjohnwu.superuser.internal.RemoteFileChannel,class,,,,79,95,263,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellPipeStream.java,com.topjohnwu.superuser.internal.ShellPipeStream,class,,,,20,0,77,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuFileInputStream.java,com.topjohnwu.superuser.io.SuFileInputStream,class,,,,6,3,21,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler,class,,,,9,0,58,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\SerialExecutorService.java,com.topjohnwu.superuser.internal.SerialExecutorService,class,,,,16,0,59,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuRandomAccessFile.java,com.topjohnwu.superuser.io.SuRandomAccessFile,class,,,,11,36,25,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$MSGConnection,innerclass,,,,6,1,38,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\DataInputImpl.java,com.topjohnwu.superuser.internal.DataInputImpl,interface,,,,26,136,86,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileImpl.java,com.topjohnwu.superuser.internal.FileImpl,class,,,,21,55,49,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$ServiceReceiver,innerclass,,,,8,0,34,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Job,innerclass,,,,8,28,14,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\RemoteFile.java,com.topjohnwu.superuser.internal.RemoteFile,class,,,,70,0,287,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\nio\FileSystemManager.java,com.topjohnwu.superuser.nio.FileSystemManager,class,,,,11,36,33,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\TaskImpl.java,com.topjohnwu.superuser.internal.TaskImpl,class,,,,5,0,29,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell,class,,,,24,188,121,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileSystemService.java,com.topjohnwu.superuser.internal.FileSystemService$Anonymous1,anonymous,,,,1,0,5,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\ShellUtils.java,com.topjohnwu.superuser.ShellUtils,class,,,,31,43,70,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$RemoteProcess,innerclass,,,,7,1,18,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory$Anonymous1,anonymous,,,,11,3,38,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory$Anonymous2,anonymous,,,,3,3,11,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServerMain.java,com.topjohnwu.superuser.internal.RootServerMain,class,,,,21,4,137,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\Utils.java,com.topjohnwu.superuser.internal.Utils,class,,,,38,133,129,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\CallbackList.java,com.topjohnwu.superuser.CallbackList,class,,,,15,15,34,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuFile.java,com.topjohnwu.superuser.io.SuFile,class,,,,93,1788,256,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Result,innerclass,,,,5,6,9,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellBlockIO.java,com.topjohnwu.superuser.internal.ShellBlockIO,class,,,,11,1,38,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\nio\ExtendedFile.java,com.topjohnwu.superuser.nio.ExtendedFile,class,,,,21,210,33,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager,class,,,,51,40,306,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$AppObserver,innerclass,,,,4,0,13,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\MainShell.java,com.topjohnwu.superuser.internal.MainShell,class,,,,19,28,64,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Task,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\ipc\RootService.java,com.topjohnwu.superuser.ipc.RootService,class,,,,26,171,77,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\AIDLService.java,com.topjohnwu.libsuexample.AIDLService,class,,,,8,13,38,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$ERR,innerclass,,,,2,1,9,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory,class,,,,5,6,65,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\JobImpl.java,com.topjohnwu.superuser.internal.JobImpl,class,,,,21,21,72,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.InputStreamSource,class,,,,4,0,19,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ByteOutputStream.java,com.topjohnwu.superuser.internal.ByteOutputStream,class,,,,2,1,8,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl,class,,,,33,0,171,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\BinderHolder.java,com.topjohnwu.superuser.internal.BinderHolder,class,,,,3,1,12,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl$NoCloseInputStream,innerclass,,,,3,3,10,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\IOResult.java,com.topjohnwu.superuser.internal.IOResult$Anonymous1,anonymous,,,,2,1,8,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellImpl.java,com.topjohnwu.superuser.internal.ShellImpl$NoCloseOutputStream,innerclass,,,,5,6,14,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$ResultCallback,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\AIDLService.java,com.topjohnwu.libsuexample.AIDLService$TestIPC,innerclass,,,,4,6,14,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Builder,innerclass,,,,8,28,15,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$ExampleInitializer,innerclass,,,,1,0,7,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileContainer.java,com.topjohnwu.superuser.internal.FileContainer,class,,,,11,0,43,,,,,,,,,,
,,,,,Calculated Mean Value,15.18181818,40.72727273,58.61363636,,,,,,,,,,
,,,,,Standard Value,49,78.34,,,,,,,,,,,
